Property Type,Listing IDs,Occupancy,Nightly Rate,Monthly Income
"    'Apartment',","   '10660163',","    86,","    58,","    1513,"
"    'Apartment',","   '1225005',","    52,","    88,","    1393,"
"    'Apartment',","   '13299876',","    53,","    136,","    2210,"
"    'Apartment',","   '13625502',","    85,","    57,","    1477,"
"    'Apartment',","   '14666499',","    36,","    80,","    860,"
"    'Apartment',","   '16650824',","    37,","    190,","    2153,"
"    'Apartment',","   '16749811',","    55,","    109,","    1812,"
"    'Apartment',","   '17700656',","    42,","    193,","    2493,"
"    'Apartment',","   '17843268',","    83,","    71,","    1787,"
"    'Apartment',","   '18773794',","    59,","    51,","    910,"
"    'Apartment',","   '18788640',","    33,","    64,","    640,"
"    'Apartment',","   '2046483',","    21,","    88,","    565,"
"    'Apartment',","   '21039291',","    73,","    48,","    1068,"
"    'Apartment',","   '21668069',","    54,","    43,","    710,"
"    'Apartment',","   '23171792',","    51,","    112,","    1736,"
"    'Apartment',","   '23253024',","    29,","    59,","    521,"
"    'Apartment',","   '26243222',","    83,","    75,","    1900,"
"    'Apartment',","   '26291083',","    32,","    79,","    770,"
"    'Apartment',","   '27359945',","    67,","    100,","    2042,"
"    'Apartment',","   '27978727',","    52,","    84,","    1323,"
"    'Apartment',","   '28068332',","    4,","    86,","    108,"
"    'Apartment',","   '28633512',","    45,","    54,","    743,"
"    'Apartment',","   '28767146',","    53,","    53,","    857,"
"    'Apartment',","   '30295028',","    39,","    51,","    599,"
"    'Apartment',","   '31412152',","    37,","    99,","    1122,"
"    'Apartment',","   '32402756',","    13,","    86,","    344,"
"    'Apartment',","   '32637185',","    64,","    94,","    1833,"
"    'Apartment',","   '32896401',","    69,","    59,","    1239,"
"    'Apartment',","   '32991164',","    76,","    73,","    1697,"
"    'Apartment',","   '34139009',","    69,","    107,","    2256,"
"    'Apartment',","   '34645586',","    67,","    179,","    3640,"
"    'Apartment',","   '3560322',","    34,","    110,","    1155,"
"    'Apartment',","   '36565379',","    80,","    40,","    973,"
"    'Apartment',","   '36767226',","    31,","    115,","    1093,"
"    'Apartment',","   '36771104',","    84,","    44,","    1118,"
"    'Apartment',","   '36802982',","    5,","    175,","    263,"
"    'Apartment',","   '36808683',","    35,","    136,","    1462,"
"    'Apartment',","   '37684738',","    87,","    68,","    1796,"
"    'Apartment',","   '37915866',","    21,","    86,","    559,"
"    'Apartment',","   '38323406',","    65,","    59,","    1170,"
"    'Apartment',","   '39441285',","    47,","    157,","    2255,"
"    'Apartment',","   '39580496',","    28,","    162,","    1404,"
"    'Apartment',","   '39627649',","    44,","    95,","    1288,"
"    'Apartment',","   '39754529',","    61,","    157,","    2891,"
"    'Apartment',","   '39817976',","    40,","    84,","    1015,"
"    'Apartment',","   '39908406',","    23,","    625,","    4375,"
"    'Apartment',","   '39950376',","    69,","    119,","    2509,"
"    'Apartment',","   '39984283',","    32,","    160,","    1520,"
"    'Apartment',","   '40118305',","    89,","    38,","    1026,"
"    'Apartment',","   '40307751',","    45,","    76,","    1029,"
"    'Apartment',","   '40308175',","    0,","    61,","    0,"
"    'Apartment',","   '40529515',","    20,","    158,","    948,"
"    'Apartment',","   '40620565',","    66,","    155,","    3100,"
"    'Apartment',","   '40775481',","    53,","    71,","    1152,"
"    'Apartment',","   '40776206',","    32,","    94,","    909,"
"    'Apartment',","   '40925598',","    69,","    75,","    1575,"
"    'Apartment',","   '41405077',","    0,","    60,","    0,"
"    'Apartment',","   '41561328',","    0,","    116,","    0,"
"    'Apartment',","   '41704599',","    43,","    109,","    1435,"
"    'Apartment',","   '41768886',","    62,","    54,","    1017,"
"    'Apartment',","   '42202759',","    57,","    46,","    801,"
"    'Apartment',","   '42221560',","    48,","    94,","    1387,"
"    'Apartment',","   '42275557',","    43,","    90,","    1148,"
"    'Apartment',","   '42489225',","    79,","    57,","    1368,"
"    'Apartment',","   '42545096',","    77,","    143,","    3349,"
"    'Apartment',","   '42563800',","    26,","    111,","    879,"
"    'Apartment',","   '42564126',","    36,","    114,","    1244,"
"    'Apartment',","   '42581236',","    46,","    128,","    1781,"
"    'Apartment',","   '42736119',","    44,","    163,","    2193,"
"    'Apartment',","   '43487878',","    26,","    125,","    989,"
"    'Apartment',","   '43506702',","    34,","    68,","    700,"
"    'Apartment',","   '44105149',","    6,","    178,","    320,"
"    'Apartment',","   '44318561',","    26,","    95,","    760,"
"    'Apartment',","   '45075890',","    50,","    56,","    849,"
"    'Apartment',","   '45100001',","    90,","    36,","    986,"
"    'Apartment',","   '45385184',","    24,","    117,","    848,"
"    'Apartment',","   '45507826',","    91,","    46,","    1254,"
"    'Apartment',","   '45699589',","    5,","    90,","    135,"
"    'Apartment',","   '46032547',","    8,","    68,","    153,"
"    'Apartment',","   '46064019',","    37,","    138,","    1518,"
"    'Apartment',","   '46142494',","    67,","    68,","    1360,"
"    'Apartment',","   '46214420',","    35,","    77,","    809,"
"    'Apartment',","   '46697446',","    83,","    75,","    1875,"
"    'Apartment',","   '46707455',","    48,","    77,","    1124,"
"    'Apartment',","   '46754257',","    45,","    89,","    1202,"
"    'Apartment',","   '46792608',","    42,","    87,","    1096,"
"    'Apartment',","   '47090709',","    58,","    96,","    1656,"
"    'Apartment',","   '47238176',","    52,","    101,","    1549,"
"    'Apartment',","   '47391119',","    36,","    100,","    1067,"
"    'Apartment',","   '47445359',","    84,","    115,","    2933,"
"    'Apartment',","   '47582718',","    53,","    72,","    1152,"
"    'Apartment',","   '47731271',","    76,","    145,","    3299,"
"    'Apartment',","   '47836685',","    72,","    112,","    2389,"
"    'Apartment',","   '47885886',","    38,","    100,","    1133,"
"    'Apartment',","   '48169159',","    67,","    67,","    1340,"
"    'Apartment',","   '6704456',","    35,","    123,","    1304,"
"    'Apartment',","   '709002',","    98,","    60,","    1795,"
"    'Apartment',","   '7199955',","    31,","    69,","    638,"
"    'Apartment',","   '8763124',","    71,","    77,","    1656,"
"    'Apartment',","   '8830742',","    37,","    76,","    855,"
"    'Apartment',","   '9668830',","    19,","    66,","    391,"
"    'Bungalow',","   '18771641',","    44,","    84,","    1113,"
"    'Bungalow',","   '20049393',","    41,","    148,","    1825,"
"    'Bungalow',","   '24253788',","    56,","    139,","    2363,"
"    'Bungalow',","   '37059934',","    93,","    98,","    2769,"
"    'Bungalow',","   '38959457',","    75,","    80,","    1827,"
"    'Bungalow',","   '39246252',","    38,","    87,","    1008,"
"    'Bungalow',","   '39536022',","    52,","    130,","    2058,"
"    'Bungalow',","   '42591687',","    52,","    81,","    1289,"
"    'Bungalow',","   '45674222',","    56,","    100,","    1700,"
"    'Bungalow',","   '47412073',","    88,","    97,","    2571,"
"    'Bungalow',","   '609572',","    96,","    127,","    3715,"
"    'Cabin',","   '11992937',","    68,","    40,","    827,"
"    'Chalet',","   '38641123',","    16,","    128,","    640,"
    'Condominium',   '9731955',61,97,1803
"    'Condominium',","   '10400432',","    28,","    233,","    1981,"
"    'Condominium',","   '13914743',","    34,","    73,","    759,"
"    'Condominium',","   '14253543',","    55,","    74,","    1246,"
"    'Condominium',","   '17831372',","    99,","    64,","    1936,"
"    'Condominium',","   '18009335',","    55,","    90,","    1508,"
"    'Condominium',","   '18615750',","    19,","    79,","    467,"
"    'Condominium',","   '19299941',","    36,","    86,","    932,"
"    'Condominium',","   '19622829',","    44,","    70,","    945,"
"    'Condominium',","   '20193148',","    89,","    64,","    1733,"
"    'Condominium',","   '20193244',","    100,","    73,","    2214,"
"    'Condominium',","   '20572473',","    61,","    102,","    1896,"
"    'Condominium',","   '20731910',","    90,","    48,","    1308,"
"    'Condominium',","   '20833527',","    55,","    72,","    1200,"
"    'Condominium',","   '21777743',","    0,","    168,","    0,"
"    'Condominium',","   '21904300',","    0,","    168,","    0,"
"    'Condominium',","   '22616193',","    22,","    95,","    649,"
"    'Condominium',","   '22781919',","    0,","    168,","    0,"
"    'Condominium',","   '22781940',","    0,","    181,","    0,"
"    'Condominium',","   '22781947',","    0,","    168,","    0,"
"    'Condominium',","   '22894863',","    0,","    185,","    0,"
"    'Condominium',","   '22894874',","    0,","    185,","    0,"
"    'Condominium',","   '23136843',","    0,","    168,","    0,"
"    'Condominium',","   '23136888',","    0,","    168,","    0,"
"    'Condominium',","   '23136926',","    0,","    168,","    0,"
"    'Condominium',","   '23136991',","    0,","    168,","    0,"
"    'Condominium',","   '23137037',","    0,","    168,","    0,"
"    'Condominium',","   '23137057',","    0,","    168,","    0,"
"    'Condominium',","   '23137143',","    0,","    168,","    0,"
"    'Condominium',","   '23634934',","    67,","    63,","    1286,"
"    'Condominium',","   '24283390',","    42,","    69,","    874,"
"    'Condominium',","   '24541742',","    66,","    87,","    1755,"
"    'Condominium',","   '26573491',","    50,","    80,","    1207,"
"    'Condominium',","   '26805800',","    35,","    63,","    677,"
"    'Condominium',","   '26993412',","    21,","    68,","    442,"
"    'Condominium',","   '27501564',","    44,","    99,","    1337,"
"    'Condominium',","   '28044943',","    30,","    81,","    736,"
"    'Condominium',","   '28123817',","    81,","    102,","    2482,"
"    'Condominium',","   '29031284',","    98,","    35,","    1041,"
"    'Condominium',","   '29729646',","    24,","    55,","    403,"
"    'Condominium',","   '30686300',","    28,","    86,","    727,"
"    'Condominium',","   '31407341',","    25,","    86,","    667,"
"    'Condominium',","   '31570400',","    42,","    151,","    1938,"
"    'Condominium',","   '31858422',","    42,","    121,","    1563,"
"    'Condominium',","   '31981061',","    36,","    87,","    943,"
"    'Condominium',","   '32787092',","    46,","    88,","    1225,"
"    'Condominium',","   '32949102',","    27,","    176,","    1437,"
"    'Condominium',","   '33449612',","    26,","    73,","    584,"
"    'Condominium',","   '34571123',","    90,","    77,","    2118,"
"    'Condominium',","   '35405838',","    5,","    188,","    313,"
"    'Condominium',","   '37274358',","    54,","    60,","    990,"
"    'Condominium',","   '37397906',","    83,","    77,","    1938,"
"    'Condominium',","   '38959208',","    74,","    76,","    1716,"
"    'Condominium',","   '39022994',","    45,","    150,","    2050,"
"    'Condominium',","   '39820575',","    59,","    103,","    1837,"
"    'Condominium',","   '39839535',","    33,","    185,","    1865,"
"    'Condominium',","   '40118611',","    27,","    57,","    470,"
"    'Condominium',","   '40417034',","    23,","    96,","    672,"
"    'Condominium',","   '40615692',","    2,","    77,","    49,"
