Property Type,Listing Ids,Occupancy,Nightly Rate,Monthly Rental Income
    'Apartment',   '9653554',87,52,1376
"    'Apartment',","   '10811316',","    93,","    59,","    1677,"
"    'Apartment',","   '11047853',","    22,","    134,","    884,"
"    'Apartment',","   '11161764',","    30,","    103,","    936,"
"    'Apartment',","   '12157281',","    87,","    50,","    1321,"
"    'Apartment',","   '15124826',","    69,","    73,","    1527,"
"    'Apartment',","   '1873154',","    34,","    70,","    713,"
"    'Apartment',","   '19194949',","    68,","    84,","    1729,"
"    'Apartment',","   '20664772',","    54,","    121,","    1997,"
"    'Apartment',","   '20835474',","    20,","    80,","    480,"
"    'Apartment',","   '21730284',","    54,","    78,","    1287,"
"    'Apartment',","   '22569682',","    46,","    109,","    1538,"
"    'Apartment',","   '23018249',","    36,","    124,","    1349,"
"    'Apartment',","   '23091646',","    73,","    54,","    1206,"
"    'Apartment',","   '23319671',","    40,","    169,","    2042,"
"    'Apartment',","   '23882803',","    35,","    150,","    1575,"
"    'Apartment',","   '23883009',","    54,","    405,","    6683,"
"    'Apartment',","   '24216680',","    75,","    51,","    1165,"
"    'Apartment',","   '24497943',","    91,","    114,","    3145,"
"    'Apartment',","   '25809605',","    28,","    113,","    961,"
"    'Apartment',","   '25810081',","    25,","    163,","    1250,"
"    'Apartment',","   '25918244',","    25,","    158,","    1192,"
"    'Apartment',","   '26867987',","    33,","    95,","    960,"
"    'Apartment',","   '27124209',","    30,","    74,","    666,"
"    'Apartment',","   '27333773',","    77,","    66,","    1551,"
"    'Apartment',","   '27394327',","    21,","    179,","    1164,"
"    'Apartment',","   '27545145',","    100,","    85,","    2597,"
"    'Apartment',","   '27549862',","    79,","    110,","    2662,"
"    'Apartment',","   '28226581',","    42,","    88,","    1129,"
"    'Apartment',","   '28271735',","    67,","    159,","    3233,"
"    'Apartment',","   '28755648',","    53,","    43,","    692,"
"    'Apartment',","   '28756250',","    55,","    47,","    783,"
"    'Apartment',","   '28809170',","    2,","    137,","    96,"
"    'Apartment',","   '28909299',","    67,","    39,","    798,"
"    'Apartment',","   '29028252',","    37,","    158,","    1778,"
"    'Apartment',","   '29526141',","    62,","    109,","    2071,"
"    'Apartment',","   '29526784',","    53,","    85,","    1381,"
"    'Apartment',","   '30407927',","    96,","    50,","    1467,"
"    'Apartment',","   '30712074',","    55,","    89,","    1495,"
"    'Apartment',","   '30776142',","    79,","    131,","    3173,"
"    'Apartment',","   '31211036',","    61,","    54,","    999,"
"    'Apartment',","   '31271730',","    46,","    132,","    1848,"
"    'Apartment',","   '31488341',","    62,","    94,","    1770,"
"    'Apartment',","   '31494285',","    64,","    150,","    2925,"
"    'Apartment',","   '31675769',","    23,","    178,","    1261,"
"    'Apartment',","   '31733394',","    32,","    139,","    1376,"
"    'Apartment',","   '31762742',","    65,","    141,","    2773,"
"    'Apartment',","   '31873388',","    57,","    143,","    2491,"
"    'Apartment',","   '32188086',","    59,","    87,","    1552,"
"    'Apartment',","   '32241146',","    82,","    88,","    2209,"
"    'Apartment',","   '32244621',","    21,","    173,","    1090,"
"    'Apartment',","   '32501378',","    38,","    168,","    1940,"
"    'Apartment',","   '32815223',","    41,","    95,","    1180,"
"    'Apartment',","   '32867132',","    67,","    87,","    1792,"
"    'Apartment',","   '32870642',","    26,","    137,","    1096,"
"    'Apartment',","   '32871040',","    35,","    112,","    1176,"
"    'Apartment',","   '33046219',","    19,","    111,","    626,"
"    'Apartment',","   '33225430',","    76,","    80,","    1840,"
"    'Apartment',","   '33660378',","    70,","    85,","    1813,"
"    'Apartment',","   '33716456',","    80,","    36,","    879,"
"    'Apartment',","   '34392285',","    49,","    150,","    2250,"
"    'Apartment',","   '34420576',","    62,","    155,","    2932,"
"    'Apartment',","   '34748058',","    77,","    126,","    2951,"
"    'Apartment',","   '35007352',","    95,","    39,","    1128,"
"    'Apartment',","   '35228091',","    81,","    114,","    2803,"
"    'Apartment',","   '35484633',","    39,","    76,","    893,"
"    'Apartment',","   '35712126',","    26,","    133,","    1064,"
"    'Apartment',","   '36133013',","    33,","    38,","    386,"
"    'Apartment',","   '37288031',","    67,","    54,","    1098,"
"    'Apartment',","   '37432739',","    22,","    178,","    1172,"
"    'Apartment',","   '37943087',","    86,","    52,","    1365,"
"    'Apartment',","   '37992490',","    55,","    74,","    1227,"
"    'Apartment',","   '38123181',","    82,","    83,","    2061,"
"    'Apartment',","   '38126027',","    71,","    83,","    1798,"
"    'Apartment',","   '38321522',","    58,","    63,","    1103,"
"    'Apartment',","   '38322827',","    54,","    62,","    1018,"
"    'Apartment',","   '39048157',","    85,","    74,","    1918,"
"    'Apartment',","   '39100999',","    38,","    63,","    730,"
"    'Apartment',","   '39103491',","    21,","    104,","    650,"
"    'Apartment',","   '39111671',","    83,","    149,","    3762,"
"    'Apartment',","   '39637680',","    100,","    94,","    2867,"
